subjectNo,RavensBlock1,RavensBlock2,RavensBlock3,RavensTotaljv
500,9,8,7,24
501,11,9,11,31
502,11,9,9,29
503,10,10,8,28
504,9,9,7,25
505,8,7,10,25
506,9,10,9,28
507,9,9,10,28
508,8,8,7,23
509,8,8,10,26
510,10,9,10,29
511,5,6,5,16
512,9,9,9,27
513,8,5,6,19
514,7,8,7,22
515,9,9,12,30
516,9,8,7,24
517,10,8,9,27
518,8,7,7,22
519,4,1,3,8
520,9,9,6,24
521,9,8,10,27
522,11,11,11,33
523,8,9,6,23
524,4,1,5,10
525,10,9,9,28
526,8,8,9,25
527,10,8,6,24
528,6,9,7,22
529,8,10,10,28
530,10,10,12,32
531,6,8,7,21
532,2,1,2,5
533,11,12,11,34
534,12,11,10,33
535,7,8,6,21
536,10,10,7,27
537,9,7,6,22
538,7,6,7,20
539,7,6,5,18
540,8,7,5,20
541,7,9,7,23
542,9,6,8,23
543,9,8,7,24
544,8,7,9,24
545,10,10,11,31
546,9,8,4,21
547,9,8,6,23
548,10,8,5,23
549,11,9,9,29
550,10,10,10,30
551,12,10,12,34
552,9,9,9,27
553,8,7,8,23
554,10,8,10,28
555,8,9,10,27
,,,,
700,11,10,11,32
701,8,7,8,23
702,9,4,7,20
703,8,10,11,29
704,10,9,11,30
705,8,8,9,25
706,8,8,7,23
707,9,10,7,26
708,9,7,10,26
709,10,7,9,26
710,7,10,7,24
711,9,11,12,32
712,10,10,6,26
713,9,7,9,25
714,9,9,9,27
715,8,8,10,26
716,6,8,10,24
717,7,8,9,24
718,12,9,11,32
719,10,10,10,30
720,10,11,11,32
721,4,6,7,17
722,11,10,12,33
723,10,10,10,30
724,10,10,8,28
725,10,10,9,29
726,7,8,5,20
727,10,9,8,27
728,10,8,8,26
729,12,9,11,32
730,12,10,10,32
731,9,11,9,29
732,8,9,7,24
733,11,9,12,32
734,7,8,5,20
735,9,7,11,27
736,7,10,7,24
737,6,8,7,21
738,9,7,8,24
739,9,9,8,26
740,10,9,7,26
741,11,8,9,28
742,10,8,10,28
900,9,8,10,27
901,7,6,7,20
902,8,9,7,24
903,10,10,10,30
904,6,6,6,18
905,6,5,7,18
906,7,8,5,20
907,11,10,11,32
908,9,10,8,27
909,7,8,6,21
910,6,6,5,17
911,4,6,3,13
912,6,6,6,18
913,9,6,10,25
914,8,9,8,25
915,10,10,7,27
916,6,8,5,19
917,10,9,9,28
918,9,7,8,24
919,8,8,6,22
920,11,8,10,29
921,9,8,7,24
922,10,11,9,30
923,8,8,5,21
924,5,8,8,21
925,7,7,8,22
926,7,7,7,21
927,8,7,3,18
928,7,7,6,20
929,6,5,8,19
930,11,9,11,31
931,8,7,7,22
932,6,6,6,18
933,8,8,6,22
934,5,6,8,19
935,10,6,4,20
936,11,9,11,31
937,11,8,11,30
938,5,6,5,16
939,8,6,6,20
940,8,6,7,21
941,5,5,8,18
942,4,8,6,18
943,5,6,7,18
944,5,8,7,20
945,9,9,8,26
946,7,8,6,21
947,7,9,5,21
948,3,4,5,12
949,5,5,4,14
950,6,7,7,20
951,10,9,7,26
952,9,7,7,23
953,5,6,6,17
954,8,6,7,21
955,5,7,5,17
956,8,9,7,24
957,11,8,9,28
958,10,9,8,27
959,7,6,7,20
960,8,5,8,21
961,0,0,1,1
962,8,8,8,24
963,7,8,5,20
964,6,7,7,20
965,10,9,5,24
966,10,8,12,30
967,5,6,4,15
968,8,9,7,24
969,8,8,8,24
970,2,4,2,8
971,8,3,3,14
972,10,9,7,26
973,9,5,7,21
974,7,9,7,23
975,7,8,7,22
976,6,6,5,17
977,10,9,9,28
978,9,8,7,24
979,8,7,8,23
980,12,10,8,30
981,8,8,8,24
982,10,9,10,29
983,9,9,6,24
984,7,9,6,22
985,8,6,6,20
986,7,6,6,19
987,10,7,11,28
988,8,7,7,22
1001,8,9,11,28
1002,6,9,9,24
1003,9,10,11,30
1004,9,12,9,30
1005,11,6,10,27
1006,9,9,8,26
1007,6,6,8,20
1008,9,9,6,24
1009,9,6,8,23
1010,11,9,10,30
1011,10,9,10,29
1012,11,9,7,27
1013,10,9,8,27
1014,8,8,7,23
1015,10,8,9,27
1016,4,6,5,15
1017,8,8,8,24
1018,7,8,8,23
1019,9,9,7,25
1020,7,8,5,20
1021,6,9,5,20
1022,10,11,12,33
1023,8,8,9,25
1024,8,9,7,24
1025,4,7,5,16
1026,10,7,9,26
1027,9,9,9,27
1028,7,9,5,21
1029,4,7,8,19
1030,9,9,9,27
1031,8,5,5,18
1032,6,5,4,15
1033,6,9,10,25
1034,8,9,9,26
1035,10,9,8,27
1036,11,8,12,31
1037,8,7,5,20
1038,6,9,7,22
1039,10,8,7,25
1040,9,8,8,25
1041,9,8,7,24
1042,3,6,7,16
1043,9,9,9,27
1044,8,7,6,21
1045,10,10,8,28
1046,11,10,9,30
1047,9,9,11,29
1048,10,7,7,24
1049,10,7,5,22
1050,8,6,7,21
1051,8,10,8,26
1052,9,10,10,29
1053,9,8,8,25
1054,8,8,5,21
1055,9,9,6,24
1056,9,10,9,28
1057,6,7,8,21
1058,8,6,2,16
1300,9,10,9,28
1301,10,9,12,31
1302,8,7,7,22
1303,9,7,5,21
1304,9,9,6,24
1305,7,6,7,20
1306,3,5,5,13
1307,6,7,8,21
1308,12,10,12,34
1309,12,10,11,33
1310,8,9,7,24
1311,8,8,9,25
1312,9,7,8,24
